Source_Type	Validated	Source	Family_F	Genus_F	Species_F	Class_H	Order_H	Family_H	Subfamily_H	Tribe_H	Subtribe_H	Genus_H	Species_H	Location	Life_Stage_H	Reported_F	Reported_H	Level_Reported_H	Level_H
Journals & Books	1	Chachuła et al. (2011), Chachuła et al. (2011): Primary literature unclear.	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps forquignonii	Insecta	Hymenoptera	NA	NA	NA	NA	NA	NA	Poland	Adult	Ophiocordyceps forquignonii	Hymenoptera	Order	Order
Journals & Books	1	Liang et al. (2003)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps furcicaudata	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	China	Larva	Cordyceps furcicaudata	Lepidoptera	Order	Order
Journals & Books	1	Tasanathai et al. (2019)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps fusiformis	Insecta	Blattodea	Termitidae	NA	NA	NA	NA	NA	Thailand	Adult	Ophiocordyceps fusiformis	Macrotermitinae	Subfamily	Family
Journals & Books	1	Shimizu (1994)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps gansuensis	Insecta	Lepidoptera	Hepialidae	NA	NA	NA	Hepialus	Hepialus luteus	China	NA	Cordyceps gansuensis	Hepialus luteus	Species	Species
Journals & Books	1	Zhang et al. (1989)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps gansuensis	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	China	Larva	Cordyceps gansuensis	Lepidoptera	Order	Order
Journals & Books	1	Yahagi (2008)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps geniculata	Insecta	Coleoptera	Scarabaeidae	NA	NA	NA	NA	NA	Japan	Larva	Cordyceps geniculata	Scarabaeidae	Family	Family
Journals & Books	1	Cesati (1879)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps gentilis	Insecta	Hymenoptera	Sphecidae	NA	NA	NA	NA	NA	Malaysia	Adult	Torrubia gentilis	Sphecidae	Family	Family
Journals & Books	1	Luangsa-Ard et al. (2018)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps geometridicola	Insecta	Lepidoptera	Geometridae	NA	NA	NA	NA	NA	Thailand	Larva	Ophiocordyceps geometridicola	Geometridae	Family	Family
Journals & Books	1	Mains (1958)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps glaziovii	Insecta	Coleoptera	NA	NA	NA	NA	NA	NA	"North America"	Larva	Cordyceps glaziovii	Coleoptera	Order	Order
Journals & Books	1	Xiao et al. (2019)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps globiceps	Insecta	Diptera	NA	NA	NA	NA	NA	NA	Thailand	Adult	Ophiocordyceps globiceps	Diptera	Order	Order
